FileName,xl,yl,xr,yr
img_inchworm_1.png,249,137,434,335
img_inchworm_2.png,254,149,445,341
img_inchworm_3.png,165,75,366,253
img_inchworm_4.png,111,218,277,432
img_inchworm_5.png,159,165,373,317
img_inchworm_6.png,181,137,323,356
img_inchworm_7.png,217,189,448,322
img_inchworm_8.png,254,163,377,398
img_inchworm_9.png,262,153,490,261
img_inchworm_10.png,223,81,323,323
img_inchworm_11.png,166,205,411,291
img_inchworm_12.png,282,43,359,297
img_inchworm_13.png,174,213,422,282
img_inchworm_14.png,272,128,348,376
img_inchworm_15.png,60,255,309,345
img_inchworm_16.png,204,53,303,300
img_inchworm_17.png,177,236,419,347
img_inchworm_18.png,277,176,403,416
img_inchworm_19.png,149,190,379,323
img_inchworm_20.png,151,40,296,272
img_inchworm_21.png,230,166,395,388
img_inchworm_22.png,69,230,290,406
img_inchworm_23.png,182,69,366,278
img_inchworm_24.png,228,144,433,333
img_inchworm_25.png,168,142,366,329
img_inchworm_26.png,174,206,357,411
img_inchworm_27.png,226,184,444,355
img_inchworm_28.png,152,141,312,359
img_inchworm_29.png,235,227,468,381
img_inchworm_30.png,149,186,289,416
img_inchworm_31.png,139,223,371,352
img_inchworm_32.png,143,214,259,455
img_inchworm_33.png,176,211,414,311
img_inchworm_34.png,243,146,335,383
img_inchworm_35.png,193,218,433,309
img_inchworm_36.png,183,44,268,288
img_inchworm_37.png,85,201,325,294
img_inchworm_38.png,268,209,379,455
img_inchworm_39.png,116,200,354,313
img_inchworm_40.png,180,33,307,276
img_inchworm_41.png,245,178,428,349
img_inchworm_42.png,171,111,303,321
img_inchworm_43.png,189,98,373,265
img_inchworm_44.png,224,241,450,330
img_inchworm_45.png,150,150,338,309
img_inchworm_46.png,136,181,296,369
img_inchworm_47.png,224,191,442,305
img_inchworm_48.png,213,183,322,399
img_inchworm_49.png,276,199,492,295
img_inchworm_50.png,120,145,317,294
img_inchworm_51.png,136,172,281,372
img_inchworm_52.png,110,130,321,257
img_inchworm_53.png,186,194,409,279
img_inchworm_54.png,262,162,352,385
img_inchworm_55.png,219,170,443,279
img_inchworm_56.png,92,221,312,315
img_inchworm_57.png,219,139,307,358
img_inchworm_58.png,271,203,411,417
img_inchworm_59.png,212,145,294,366
img_inchworm_60.png,62,189,287,283
img_inchworm_61.png,204,148,500,297
img_inchworm_62.png,18,232,341,413
img_inchworm_63.png,229,21,440,358
img_inchworm_64.png,135,205,294,500
img_inchworm_65.png,180,99,410,418
img_inchworm_66.png,65,100,270,434
img_inchworm_67.png,196,56,494,252
img_inchworm_68.png,133,88,426,355
img_inchworm_69.png,286,73,493,286
img_inchworm_70.png,58,152,325,447
img_inchworm_71.png,179,128,477,393
img_inchworm_72.png,40,173,283,498
img_inchworm_73.png,163,50,441,336
img_inchworm_74.png,127,18,323,354
img_inchworm_75.png,224,14,487,327
img_inchworm_76.png,204,202,371,495
img_inchworm_77.png,38,189,381,349
img_inchworm_78.png,254,171,500,384
img_inchworm_79.png,68,194,414,339
img_inchworm_80.png,221,6,357,301
img_inchworm_81.png,166,126,439,219
img_inchworm_82.png,218,51,312,277
img_inchworm_83.png,47,120,321,237
img_inchworm_84.png,178,203,299,476
img_inchworm_85.png,116,158,378,298
img_inchworm_86.png,127,100,279,360
img_inchworm_87.png,181,89,439,263
img_inchworm_88.png,196,88,377,334
img_inchworm_89.png,201,35,447,239
img_inchworm_90.png,114,72,316,304
img_inchworm_91.png,165,146,384,355
img_inchworm_92.png,91,25,318,242
img_inchworm_93.png,181,96,378,326
img_inchworm_94.png,167,113,407,296
img_inchworm_95.png,188,59,363,307
img_inchworm_96.png,26,134,283,301
img_inchworm_97.png,131,162,281,418
img_inchworm_98.png,228,149,494,278
img_inchworm_99.png,189,139,309,398
img_inchworm_100.png,16,159,286,267
img_inchworm_101.png,221,96,389,229
img_inchworm_102.png,213,155,355,301
img_inchworm_103.png,137,114,294,251
img_inchworm_104.png,105,211,237,374
img_inchworm_105.png,188,198,326,346
img_inchworm_106.png,129,176,246,348
img_inchworm_107.png,181,236,306,402
img_inchworm_108.png,243,203,416,321
img_inchworm_109.png,149,299,268,488
img_inchworm_110.png,152,179,326,292
img_inchworm_111.png,218,228,402,334
img_inchworm_112.png,179,157,359,266
img_inchworm_113.png,200,191,386,290
img_inchworm_114.png,215,150,400,255
img_inchworm_115.png,253,185,443,279
img_inchworm_116.png,176,177,276,358
img_inchworm_117.png,204,175,385,278
img_inchworm_118.png,242,121,432,221
img_inchworm_119.png,191,188,364,304
img_inchworm_120.png,117,186,298,289
img_inchworm_121.png,270,203,379,493
img_inchworm_122.png,83,134,365,236
img_inchworm_123.png,300,72,400,358
img_inchworm_124.png,232,192,491,299
img_inchworm_125.png,221,120,332,397
img_inchworm_126.png,145,198,418,322
img_inchworm_127.png,243,180,385,453
img_inchworm_128.png,111,265,378,416
img_inchworm_129.png,306,226,485,500
img_inchworm_130.png,177,157,431,321
img_inchworm_131.png,194,185,383,426
img_inchworm_132.png,238,178,482,369
img_inchworm_133.png,187,180,399,400
img_inchworm_134.png,179,211,391,430
img_inchworm_135.png,242,192,484,395
img_inchworm_136.png,182,106,378,340
img_inchworm_137.png,164,116,407,298
img_inchworm_138.png,188,253,355,500
img_inchworm_139.png,144,176,400,330
img_inchworm_140.png,230,46,384,311
img_inchworm_141.png,184,93,327,318
img_inchworm_142.png,12,185,251,318
img_inchworm_143.png,125,168,247,402
img_inchworm_144.png,177,263,416,372
img_inchworm_145.png,185,125,277,362
img_inchworm_146.png,86,255,327,344
img_inchworm_147.png,243,213,331,458
img_inchworm_148.png,112,206,350,295
img_inchworm_149.png,188,232,289,479
img_inchworm_150.png,69,192,310,304
img_inchworm_151.png,159,152,281,390
img_inchworm_152.png,26,204,269,340
img_inchworm_153.png,204,174,346,406
img_inchworm_154.png,125,147,351,297
img_inchworm_155.png,175,198,335,420
img_inchworm_156.png,88,248,306,426
img_inchworm_157.png,106,112,288,319
img_inchworm_158.png,187,70,387,264
img_inchworm_159.png,123,148,321,335
img_inchworm_160.png,82,214,266,424
img_inchworm_161.png,231,255,333,415
img_inchworm_162.png,226,173,387,267
img_inchworm_163.png,277,176,370,340
img_inchworm_164.png,254,236,423,326
img_inchworm_165.png,221,177,306,342
img_inchworm_166.png,221,223,388,305
img_inchworm_167.png,243,207,321,374
img_inchworm_168.png,211,140,379,216
img_inchworm_169.png,290,267,372,440
img_inchworm_170.png,148,197,309,279
img_inchworm_171.png,227,227,318,387
img_inchworm_172.png,209,262,366,358
img_inchworm_173.png,215,200,318,351
img_inchworm_174.png,190,256,336,366
img_inchworm_175.png,261,226,378,371
img_inchworm_176.png,171,210,312,329
